,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
285,391.74,391.8,391.73,391.79,49113,11:51:00,391.77,19241000.01,9192535763.73,23485572,391.41,391.74012698548944
286,391.8,391.83,391.67,391.6701,68199,11:52:00,391.72,26714912.28,9219250676.01,23553771,391.41,391.7350952391171
287,391.68,391.77,391.62,391.62,46397,11:53:00,391.67,18172312.99,9237422989.0,23600168,391.41,391.7188214293378
288,391.62,391.68,391.62,391.65,63769,11:54:00,391.65,24975128.85,9262398117.85,23663937,391.41,391.7016160720034
289,391.66,391.82,391.655,391.71,79256,11:55:00,391.73,31046952.88,9293445070.73,23743193,391.42,391.70871205400255
290,391.72,391.8,391.65,391.8,74415,11:56:00,391.75,29152076.25,9322597146.98,23817608,391.42,391.7190340405019
291,391.8,391.895,391.8,391.88,88132,11:57:00,391.86,34535405.52,9357132552.5,23905740,391.42,391.7542755303765
292,391.88,391.92,391.64,391.7801,401136,11:58:00,391.78,157157062.08,9514289614.58,24306876,391.42,391.76070664778234
293,391.78,391.89,391.7,391.8719,66262,11:59:00,391.82,25962776.84,9540252391.42,24373138,391.42,391.7755299858367
294,391.88,392.04,391.87,391.99,182191,12:00:00,391.97,71413406.27,9611665797.69,24555329,391.43,391.82414748937754
295,391.995,392.06,391.86,391.9,88750,12:01:00,391.94,34784675.0,9646450472.69,24644079,391.43,391.85311061703317
296,391.91,391.95,391.61,391.63,176281,12:02:00,391.73,69054556.13,9715505028.82,24820360,391.43,391.8223329627749
297,391.66,391.76,391.65,391.75,75090,12:03:00,391.72,29414254.8,9744919283.62,24895450,391.43,391.7967497220812
298,391.76,391.8,391.6517,391.71,78343,12:04:00,391.72,30688519.96,9775607803.58,24973793,391.43,391.7775622915609
299,391.71,391.83,391.67,391.67,78417,12:05:00,391.72,30717507.24,9806325310.82,25052210,391.44,391.76317171867066
300,391.67,391.77,391.64,391.74,83904,12:06:00,391.72,32866874.88,9839192185.7,25136114,391.44,391.752378789003
301,391.74,391.7589,391.63,391.63,45479,12:07:00,391.67,17812759.93,9857004945.63,25181593,391.44,391.7317840917523
